content,prediction
libros articulos del hogat calcetines prenda de vestir y accesorios ,0
articulos del hogar accesorios y articulos de aseo personal,0
bags ,0
articulos uso personal,0
guantes,0
juguete-ropa-zapato,0
equipo de sonido usado,0
manillas,0
tenis y camiseta,0
spare part,0
tylenol iboprufeno,0
articulos de hogar de decoracion alfombras y toallas ,0
zapato-ropa-imp aseo,0
banador,0
5376d4-,0
juguete,0
articulos de oficina,0
hamaca para bebe,0
centrifuga de leche,0
accesorioszapatos.,0
maquina de yogurth jarra ,0
articulos para cocinasupleme.,0
comestibles sandalias juguetes de nino y dulces ,0
2 chaquetas  revstas y chocolates,0
cinturon,0
articulos bebe,0
sandalias,0
rin/270372123210,0
herramientas ,0
comestibles accesorios y articulos de aseo personal,0
cuna cosmeticos y articulos para bebes,0
sombrilla,0
soporte de bicicleta,0
chaleco,0
libro,0
ropaproteina.,0
acesorios ,0
tablet vineimon,0
cloruro de mercurio,1
gases toxicos,1
pesticidas,1
productos quimicos,0
ollas a presion,0
reloj de pulsera,0
tnt,1
platos de papel,0
bombas,1
anfo,1
gorra de beisbol,0
arsenico,1
cerillas,1
arma de fuego,1
nitrato de amonio,1
ddt,1
agua embotellada,0
sustancias explosivas,1
agenda,0
fosforo blanco,1
vx,1
carpeta,0
polonio,1
cilindros de gas,1
gases asfixiantes,1
acido fluorhidrico,1
armas quimicas,0
boligrafo,0
gas nervioso,1
productos inflamables,1
nitrato de plata,1
armas biologicas,1
napalm,1
pila,0
lapiz,0
cloruro de sodio,1
acido cianhidrico,1
revista,0
pelota de futbol,0
agentes quimicos de guerra,1
arma de destruccion masiva,1
cd,0
acido perclorico,1
sustancias inflamables,1
toxinas,1
monoxido de carbono,1
gas mostaza,1
carga hueca,1
acido nitrico,1
llavero,0
lanza cohetes,1
gas de cloro,1
sustancias venenosas,1
sustancias quimicas peligrosas,1
veneno,1
agentes neurotoxicos,1
flores,0
gas sarin,1
papel,0
material radioactivo,1
armas de destruccion masiva,1
cartuchos de municion de calibre .22,1
latas de aerosol inflamable,1
baterias de litio recargables,1
pintura en aerosol con contenido de gas butano,1
botellas de gas propano para camping,1
cajas de fuegos artificiales,1
botellas de acido clorhidrico,1
cilindros de gas comprimido para soldadura,1
tambores de desechos quimicos,1
paquetes de fuegos artificiales,1
tanques de oxigeno medico,1
liquidos inflamables para encendedores,1
cajas de cohetes pirotecnicos,1
envases de queroseno para lamparas,1
botellas de acido sulfurico,1
latas de pintura a base de aceite,1
latas de removedor de pintura,1
contenedores de acido nitrico,1
bolsas de fertilizante explosivo,1
botes de disolvente para limpieza de pinturas,1
tambores de acido fluorhidrico,1
botes de insecticida en aerosol,1
latas de combustible para antorchas,1
cajas de bengalas de senalizacion,1
bidones de liquido inflamable,1
bolsas de polvo de aluminio,1
cajas de baterias de litio,1
tambores de acido sulfurico,1
envases de pegamento para modelismo,1
frascos de acido clorhidrico,1
botellas de gas butano para estufas,1
latas de pintura en aerosol,1
baterias de plomo-acido recargables,1
bombonas de propano para barbacoas,1
contenedores de acido fosforico,1
bolsas de nitrato de amonio,1
tambores de cloruro de metileno,1
botellas de gas natural licuado,1
botes de limpiador de desagues,1
cilindros de acetileno para soldadura,1
bidones de aceite de linaza,1
latas de insecticida en aerosol,1
frascos de acido fluorhidrico,1
contenedores de acido acetico,1
envases de cloro liquido,1
bolsas de acido nitrico,1
botellas de amoniaco para limpieza,1
latas de espray de pintura,1
botes de adhesivo para madera,1
cajas de cohetes para fiestas,1
tambores de hidroxido de sodio,1
bolsas de peroxido de hidrogeno,1
bidones de acido citrico,1
latas de aceite de motor,1
botellas de liquido refrigerante,1
cajas de petardos de alto poder,1
tambores de metanol,1
bolsas de fluoruro de hidrogeno,1
bidones de acido sulfurico diluido,1
latas de aerosol de insecticida,1
frascos de clorhidrato de anfetamina,1
botellas de disolvente para pintura,1
cajas de cohetes pirotecnicos de gran calibre,1
tambores de dioxido de cloro,1
bolsas de acido sulfurico,1
bidones de gas propano,1
latas de laca en aerosol,1
botellas de gas natural comprimido,1
cajas de baterias de acido plomo,1
tambores de clorato de potasio,1
bolsas de permanganato de potasio,1
bidones de peroxido de hidrogeno,1
latas de espray de silicona,1
botellas de acido clorhidrico diluido,1
cajas de cohetes para celebraciones,1
bolsas de pentoxido de fosforo,1
bidones de hidroxido de sodio,1
botellas de acido nitrico diluido,1
cajas de cohetes para eventos especiales,1
tambores de hidroxido de potasio,1
bolsas de acido clorhidrico,1
bidones de metanol industrial,1
latas de espray de insecticida,1
botellas de acetona para limpieza,1
cajas de cohetes para fiestas de cumpleanos,1
tambores de acido fluorhidrico diluido,1
bidones de acido acetico glacial,1
latas de espray de pintura para graffiti,1
bolsas de acido sulfurico diluido,1
bidones de gas propano industrial,1
latas de laca en aerosol para automoviles,1
botellas de gas natural licuado para vehiculos,1
cajas de baterias de acido plomo recargables,1
latas de espray de silicona para sellado,1
botellas de acido clorhidrico diluido para limpieza,1
cajas de cohetes para espectaculos pirotecnicos,1
bidones de hidroxido de sodio industrial,1
botellas de acido nitrico diluido para limpieza,1
cajas de cohetes para festivales,1
tambores de hidroxido de potasio industrial,1
bolsas de acido clorhidrico diluido,1
bidones de metanol puro,1
latas de espray de insecticida para jardin,1
botellas de acetona para disolvente de pintura,1
cajas de cohetes para bodas,1
tambores de acido fluorhidrico industrial,1
bolsas de peroxido de hidrogeno diluido,1
bidones de acido acetico glacial diluido,1
latas de espray de pintura para murales,1
cajas de petardos de alto poder para festivales,1
tambores de dioxido de cloro diluido,1
bidones de gas propano industrial diluido,1
latas de laca en aerosol para muebles,1
botellas de gas natural licuado para estufas,1
cajas de baterias de acido plomo diluido,1
tambores de clorato de potasio diluido,1
bolsas de permanganato de potasio diluido,1
bidones de peroxido de hidrogeno diluido,1
latas de espray de silicona para impermeabilizar,1
cajas de cohetes para festivales de musica,1
bolsas de pentoxido de fosforo diluido,1
bidones de hidroxido de sodio diluido,1
cajas de cohetes para desfiles militares,1
tambores de hidroxido de potasio diluido,1
bidones de metanol puro diluido,1
latas de espray de insecticida diluido,1
botellas de acetona para disolvente de pintura diluida,1
cajas de cohetes para festivales de cine,1
tambores de acido fluorhidrico industrial diluido,1
latas de espray de pintura para murales diluida,1
botellas de acido clorhidrico diluido para limpieza diluida,1
cajas de petardos de alto poder para festivales diluidos,1
latas de laca en aerosol para muebles diluida,1
botellas de gas natural licuado para estufas diluido,1
latas de espray de silicona para impermeabilizar diluida,1
cajas de cohetes para festivales de musica diluidos,1
botellas de acido nitrico diluido para limpieza diluida,1
cajas de cohetes para desfiles militares diluidos,1
cajas de cohetes para festivales de cine diluidos,1
articulos de decoracion para el hogar,0
libros educativos,0
juguetes de plastico,0
herramientas de jardineria,1
alimentos enlatados,0
equipos deportivos,0
productos de limpieza,0
plantas ornamentales,0
joyas de fantasia,0
utensilios de cocina,0
articulos de papeleria,0
productos electronicos,0
herramientas de bricolaje,0
productos de higiene personal,0
plantas en maceta,0
accesorios de moda,0
juguetes de peluche,0
plantas comestibles,0
articulos de decoracion navidena,0
libros de cocina,0
articulos de camping,0
herramientas de carpinteria,0
plantas medicinales,0
accesorios para mascotas,0
plantas de interior,0
productos para el cuidado del cabello,0
productos para el cuidado de la piel,0
electrodomesticos,0
juguetes educativos,0
articulos para manualidades,0
articulos de tocador,0
accesorios para el cabello,0
decoracion para el hogar,0
articulos de cocina,0
articulos para el hogar,0
latas,1
libros,0
cocina,0
set,0
,0
dimmerschalter haus ersatzteile,0
pack liquide pour lentilles de contact parfums ciseaux,0
bars for sports lighting,0
rideaux et photos,0
scarpe cinturino copertina articoli per la casa,0
prodotti da bagno condimenti vestiti usati e un paio di scarpe,0
ersatzteile,0
19 gebrauchte ersatz-xbox-steuerungen,0
27 gebrauchte ersatzsteuerungen,0
armas,1
guns,1
ammo,1
cuchillos,1
municiones,1
drogas,1
marihuana,1
cocaina,1
knifes,0
ropa-zapatos-munecos,0
仿真枪械,0
hidruros,1
5,0
4,0
3,0
2,0
mascotas,0
disco de ascetatodiscos de acetatodiscos ascetatos,0
camara,0
mouse,0
laptop usada,0
calzado,0
cables termos rellenos,0
art deportivos 5924,0
servicio,0
edredonesedredonesedredonescubrelechos,0
pocket flash,0
spray grinder,0
mesa,0
prendas 3531,0
pc parts,0
computer parts,0
bebidas,0
pc accesorios,0
rellenador huecos,0
tapete,0
massager gun,0
bandeja para horno,0
ventilador a/c,0
roparopa bebe,0
medicina,0
paraguas redondo,0
roparoparopa,0
bebe,0
impresora c7000,0
refigerador de vino,0
librolibrolibrolibrolibrolibro1 librolibro,0
cenador de patio,0
hogar,0
recipientesganchosropamonos,0
coladoralicatesforrocelgsnchos,0
universal registro t,0
party grado,0
computador accesorios,0
basilik v3,0
puppies,0
tenis,0
amortiguador,0
6 cosmeticos,0
soplador,0
estatuilla,0
6 cosmeticoslego1 legolegolego,0
cubrelechos,0
6 cosmeticos3 legos,0
6 fire tvstick,0
bisuteria moldes,0
moldes caucho,0
home goods,0
componentes pc,0
cartucherarecipienteganchosropaforro cel,0
partes para botes 8409999900,0
autopartes,0
partes de tractor p.a 8701910000,0
partes de maquina  cocechadora pa 8433909000  tlc invoice 2399361 generar simplificada,0
accesorios de casa,0
partes de maquina  cocechadora pa 8433909000  tlc invoice 153698 generar simplificada,0
tablas,0
madera,0
pc componentes,0
collares,0
articulos personales,0
accesorios y articulos para la casa,0
